month,tempeature
1,-6 C
1,-6 C
1,-5 C
1,-8 C
1,-6 C
1,-4 C
1,-3 C
1,-6 C
1,-8 C
1,-10 C
1,-9 C
1,-9 C
1,-7 C
1,-5 C
1,-5 C
1,-5 C
1,-7 C
1,-6 C
1,-4 C
1,-6 C
1,-5 C
1,-9 C
1,-12 C
1,-11 C
1,-9 C
1,-10 C
1,-9 C
1,-8 C
1,-8 C
1,-7 C
1,-8 C
2,-7 C
2,-10 C
2,-9 C
2,-8 C
2,-10 C
2,-7 C
2,-9 C
2,-7 C
2,-9 C
2,-10 C
2,-9 C
2,-7 C
2,-3 C
2,-6 C
2,-5 C
2,-5 C
2,-4 C
2,-3 C
2,-3 C
2,-5 C
2,-4 C
2,-3 C
2,-2 C
2,-6 C
2,-4 C
2,-1 C
2,0 C
2,-2 C
3,-3 C
3,-1 C
3,2 C
3,-1 C
3,-3 C
3,-3 C
3,-2 C
3,-4 C
3,-2 C
3,-2 C
3,0 C
3,4 C
3,5 C
3,6 C
3,0 C
3,-1 C
3,0 C
3,2 C
3,2 C
3,-2 C
3,1 C
3,4 C
3,6 C
3,5 C
3,7 C
3,7 C
3,11 C
3,10 C
3,7 C
3,8 C
3,9 C
